-109.4338, -2.0634
-106.4823, -1.8379
-103.3522, -1.5931
-100.2011, -1.3449
-97.0875, -1.1304
-94.1248, -0.9671
-91.0638, -0.8402
-88.1904, -0.7368
-85.0331, -0.6430
-82.0356, -0.5907
-78.9374, -0.5423
-75.7228, -0.5075
-72.6070, -0.4995
-69.6323, -0.4971
-66.6426, -0.5034
-63.4453, -0.5213
-60.6084, -0.5482
-57.5730, -0.5793
-54.4613, -0.6006
-51.5467, -0.6052
-48.2367, -0.6132
-45.2948, -0.6041
-42.1990, -0.6018
-39.1319, -0.5802
-36.0422, -0.5693
-32.9503, -0.5201
-29.8481, -0.4743
-26.6634, -0.4462
-23.5488, -0.4205
-20.5735, -0.3828
-17.5477, -0.3493
-14.3630, -0.3282
-11.3809, -0.3156
-8.3095, -0.2932
-5.2409, -0.2402
-2.1604, -0.1831
